Year,Channel,Watch time (mins),Stream time (mins),Average viewers,Followers,Followers gained,Views gained,Language
2018.0,livekiss,1416769815.0,509640.0,2779.0,33797.0,15310.0,6466505.0,Chinese
2018.0,Uzra,629751195.0,197190.0,3193.0,231471.0,37337.0,15173991.0,Chinese
2018.0,接接 (godjj),621821985.0,131100.0,4742.0,366098.0,32145.0,19988480.0,Chinese
2018.0,老皮 (mobilmobil),560630985.0,104745.0,5351.0,527422.0,40743.0,18274641.0,Chinese
2018.0,殺梗 (xargon0731),538453560.0,123600.0,4355.0,323362.0,51022.0,18241440.0,Chinese
2018.0,餐餐自由配 (blusewilly_retry),534726825.0,99045.0,5398.0,437688.0,41746.0,14898168.0,Chinese
2018.0,亞洲統神 (asiagodtonegg3be0),527840265.0,93315.0,5656.0,559603.0,37874.0,17552069.0,Chinese
2018.0,kyo1984123,407162175.0,188280.0,2162.0,172374.0,34683.0,16477777.0,Chinese
2018.0,狂暴小建 (a541021),384113940.0,126870.0,3027.0,220965.0,46621.0,12387037.0,Chinese
2018.0,Ko0416,351738480.0,143520.0,2450.0,117920.0,49657.0,12674851.0,Chinese
2018.0,達哥 (underground_dv),121368495.0,26025.0,4663.0,162452.0,10105.0,4888074.0,Chinese (Hong Kong SAR)
2018.0,Loui5Ng,67481835.0,79530.0,848.0,52911.0,9513.0,1587949.0,Chinese (Hong Kong SAR)
2018.0,艾維院 (ankgaminghk),67233960.0,202335.0,331.0,18368.0,2212.0,11518140.0,Chinese (Hong Kong SAR)
2018.0,肥捏 (nepg),6468390.0,189555.0,33.0,5506.0,198.0,196803.0,Chinese (Hong Kong SAR)
2018.0,子如初見 (hkqjai),6232455.0,96465.0,64.0,4863.0,1594.0,179860.0,Chinese (Hong Kong SAR)
2018.0,Kitspy2005,4715175.0,39585.0,118.0,10424.0,1172.0,122403.0,Chinese (Hong Kong SAR)
2018.0,毒叔 (diedoggod),4628490.0,143940.0,31.0,6290.0,443.0,151561.0,Chinese (Hong Kong SAR)
2018.0,小幽寶寶 (ariachan_csn),4133055.0,95895.0,42.0,6093.0,3545.0,157255.0,Chinese (Hong Kong SAR)
2018.0,Sing20088,3993615.0,44385.0,89.0,3533.0,672.0,162718.0,Chinese (Hong Kong SAR)
2018.0,長腿木木 (longlegmumu),3692895.0,21750.0,169.0,16474.0,826.0,125267.0,Chinese (Hong Kong SAR)
2018.0,Ninja,14051438610.0,180795.0,77719.0,18478816.0,11889827.0,351381172.0,English
2018.0,Riot Games (riotgames),6250856340.0,113415.0,55114.0,6547561.0,640558.0,136591918.0,English
2018.0,shroud,6135326190.0,183285.0,33473.0,10455581.0,3078868.0,170758983.0,English
2018.0,OverwatchLeague,3995519550.0,41250.0,96860.0,1771264.0,1184822.0,129804554.0,English
2018.0,sodapoppin,3333731175.0,133260.0,25016.0,8833961.0,591188.0,69271944.0,English
2018.0,Dakotaz,3136873860.0,154500.0,20302.0,4662719.0,2846292.0,62605589.0,English
2018.0,Tfue,2999618985.0,114615.0,26170.0,11375370.0,4058923.0,66490818.0,English
2018.0,LIRIK,2763682620.0,115110.0,24008.0,2923309.0,352401.0,58698393.0,English
2018.0,summit1g,2666396670.0,149310.0,17857.0,6167952.0,880890.0,65676979.0,English
2018.0,ELEAGUE TV (eleaguetv),2615982390.0,27630.0,94678.0,1610655.0,545925.0,55241084.0,English
2018.0,풍월량 (hanryang1125),1606509015.0,148350.0,10828.0,606248.0,111806.0,24553484.0,Korean
2018.0,Riot_esports_Korea,1216282335.0,54420.0,22349.0,1384798.0,198457.0,48098468.0,Korean
2018.0,얍얍 (yapyap30),1040729055.0,162315.0,6411.0,329016.0,88604.0,20720798.0,Korean
2018.0,서새봄냥 (saddummy),992764920.0,191235.0,5190.0,657679.0,174911.0,21147728.0,Korean
2018.0,한동숙 (handongsuk),877308990.0,164880.0,5320.0,558073.0,128600.0,15084402.0,Korean
2018.0,따효니 (ddahyoni),677227230.0,103050.0,6571.0,364500.0,84214.0,10968887.0,Korean
2018.0,룩삼 (looksam),532558140.0,126615.0,4205.0,307819.0,86466.0,11293552.0,Korean
2018.0,Faker,509630175.0,23010.0,22147.0,3842918.0,521086.0,23516059.0,Korean
2018.0,김도 (kimdoe),504809460.0,131670.0,3833.0,318592.0,99151.0,12277610.0,Korean
2018.0,우왁굳 (woowakgood),459636315.0,135945.0,3380.0,957397.0,152466.0,12037505.0,Korean
2018.0,YoDa,1854831030.0,134010.0,13840.0,2399683.0,437744.0,52813677.0,Portuguese
2018.0,alanzoka,1395409935.0,91380.0,15269.0,6318416.0,1083884.0,33441445.0,Portuguese
2018.0,jukes,930066390.0,93315.0,9966.0,1788541.0,417945.0,27814261.0,Portuguese
2018.0,Gaules,881088270.0,344715.0,2555.0,3847490.0,403613.0,23865001.0,Portuguese
2018.0,SkipNhO,688735335.0,136035.0,5062.0,1252659.0,390852.0,23397084.0,Portuguese
2018.0,jovirone,632024835.0,105045.0,6016.0,1147622.0,264980.0,20732934.0,Portuguese
2018.0,CBLOL,623022600.0,51285.0,12147.0,1559165.0,139599.0,23547124.0,Portuguese
2018.0,gratis150ml,377270505.0,180855.0,2085.0,831155.0,145817.0,12925642.0,Portuguese
2018.0,Rakin,311008290.0,64860.0,4794.0,1614264.0,220180.0,11335812.0,Portuguese
2018.0,TheDarkness,299037120.0,93180.0,3208.0,699121.0,190040.0,10194139.0,Portuguese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,Chinese
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,English
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Korean
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
2018.0,,,,,,,,Portuguese
,Loui5Ng,58110315.0,88380.0,656.0,52911.0,3016.0,1742793.0,Chinese (Hong Kong SAR)
,艾維院 (ankgaminghk),48285780.0,273405.0,176.0,18368.0,622.0,1122811.0,Chinese (Hong Kong SAR)
,達哥 (underground_dv),27945720.0,12255.0,2280.0,162452.0,4329.0,1557573.0,Chinese (Hong Kong SAR)
,melonyeahyeahyeah,26819775.0,402045.0,66.0,16018.0,621.0,675677.0,Chinese (Hong Kong SAR)
,肥捏 (nepg),10201695.0,161850.0,62.0,5506.0,2043.0,347645.0,Chinese (Hong Kong SAR)
,顏色教練 (colour1020),10031250.0,46800.0,214.0,13402.0,2634.0,299324.0,Chinese (Hong Kong SAR)
,毒叔 (diedoggod),6045135.0,159300.0,37.0,6290.0,605.0,195391.0,Chinese (Hong Kong SAR)
,YankeeChan,5675280.0,92115.0,61.0,6094.0,2453.0,293232.0,Chinese (Hong Kong SAR)
,神雕 (timelipper),5611440.0,81840.0,68.0,2812.0,1145.0,215759.0,Chinese (Hong Kong SAR)
,EggieMein,5403705.0,85125.0,63.0,3233.0,2983.0,108361.0,Chinese (Hong Kong SAR)
2020.0,xQc,8847081540.0,215010.0,41146.0,11687934.0,5364951.0,132751155.0,English
2020.0,summit1g,6505033950.0,221550.0,29361.0,6167952.0,1696810.0,94561929.0,English
2020.0,ESL_CSGO,4786942590.0,518580.0,9230.0,5969718.0,892718.0,128514894.0,English
2020.0,NICKMERCS,4406970885.0,127065.0,34682.0,6658557.0,1691981.0,54622518.0,English
2020.0,loltyler1,4096418850.0,143265.0,28593.0,5180065.0,1059740.0,67469321.0,English
2020.0,Fextralife,4009993485.0,175785.0,22811.0,1480893.0,445534.0,720291870.0,English
2020.0,TimTheTatman,3427872990.0,106380.0,32222.0,7016611.0,1729529.0,56882290.0,English
2020.0,Asmongold,3316320495.0,76545.0,43324.0,3364117.0,549313.0,52747691.0,English
2020.0,Tfue,3147036030.0,137475.0,22891.0,11375370.0,2429948.0,73128517.0,English
2020.0,sodapoppin,3136184805.0,158025.0,19845.0,8833961.0,3359738.0,45684665.0,English
2020.0,풍월량 (hanryang1125),2371413705.0,176595.0,13428.0,606406.0,90603.0,38630141.0,Korean
2020.0,Riot_esports_Korea,2299170720.0,49080.0,46844.0,1384798.0,312613.0,86182524.0,Korean
2020.0,한동숙 (handongsuk),1549398615.0,137820.0,11241.0,558073.0,32721.0,31415487.0,Korean
2020.0,서새봄냥 (saddummy),1202649615.0,190965.0,6297.0,657679.0,63540.0,33168615.0,Korean
2020.0,괴물쥐123 (tmxk319),1004775315.0,127710.0,7867.0,844285.0,377402.0,22513535.0,Korean
2020.0,따효니 (ddahyoni),814193745.0,157890.0,5156.0,364500.0,50059.0,21117784.0,Korean
2020.0,침착맨 (zilioner),800185215.0,100485.0,7962.0,757286.0,132055.0,25853345.0,Korean
2020.0,녹두로 (nokduro),774409620.0,152040.0,5093.0,271411.0,106565.0,13977927.0,Korean
2020.0,우왁굳 (woowakgood),732657855.0,159015.0,4607.0,957397.0,200007.0,21157412.0,Korean
2020.0,김진우 (jinu6734),650282265.0,126960.0,5121.0,334955.0,84138.0,11074020.0,Korean
2020.0,Gaules,7720563330.0,517155.0,14928.0,3847490.0,1416066.0,136956383.0,Portuguese
2020.0,alanzoka,2538944430.0,104220.0,24360.0,6318416.0,1870473.0,58894703.0,Portuguese
2020.0,YoDa,1946966685.0,144030.0,13517.0,2399683.0,423257.0,43572136.0,Portuguese
